metric,approach,instance,value,prompt_ver,id,stratum
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_shacl.csv,0
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_shacl.csv,0
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_shacl.csv,0
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_shacl.csv,0
shacl,GPT_3_Turbo_16K,pred,0.9696969706152432,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_shacl.csv,0
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_shacl.csv,0
factual,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_factual.csv,0
factual,GPT_3_Turbo_16K,expected,0.6,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_factual.csv,0
factual,GPT_3_Turbo_16K,pred,0.6666666666666666,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_factual.csv,0
factual,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_factual.csv,0
factual,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_factual.csv,0
factual,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_factual.csv,0
semantic,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_semantic.csv,0
semantic,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_semantic.csv,0
semantic,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_semantic.csv,0
semantic,GPT_3_Turbo_16K,expected,0.8571428571428571,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_semantic.csv,0
semantic,GPT_3_Turbo_16K,pred,0.8787878787878788,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_semantic.csv,0
semantic,GPT_3_Turbo_16K,expected,0.8888888888888888,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_semantic.csv,0
jaccardms,GPT_3_Turbo_16K,pred,0.5,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_jaccardms.csv,0
jaccardms,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/5c3628c2e1553541b0ad4597d4a52170_Person_jaccardms.csv,0
jaccardms,GPT_3_Turbo_16K,pred,0.6875,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_jaccardms.csv,0
jaccardms,GPT_3_Turbo_16K,expected,0.75,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/75fd9651b8d7b5807cdd6da441b1bc84_Review_jaccardms.csv,0
jaccardms,GPT_3_Turbo_16K,pred,0.981132075471698,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_jaccardms.csv,0
jaccardms,GPT_3_Turbo_16K,expected,0.2830188679245283,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_0/corpus/GPT_3_Turbo_16K/text2kg_prompt3/0aab606677703ad0eaa5112790b22eec_SingleFamilyResidence_jaccardms.csv,0
