metric,approach,instance,value,prompt_ver,id,stratum
shacl,GPT_3_Turbo_16K,pred,0.866666675555555,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/345759b16a979ca20c5e22ef78c9c3a4_LocalBusiness_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,0.9375000019531248,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/345759b16a979ca20c5e22ef78c9c3a4_LocalBusiness_shacl.csv,2
shacl,GPT_3_Turbo_16K,pred,0.7083333454861106,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/690a9803a4ff14a368e32559f16ba3c9_LocalBusiness_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/690a9803a4ff14a368e32559f16ba3c9_LocalBusiness_shacl.csv,2
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/6b394ce342a0bc94b4ec91654b175de4_Product_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/6b394ce342a0bc94b4ec91654b175de4_Product_shacl.csv,2
factual,GPT_3_Turbo_16K,pred,0.8,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/345759b16a979ca20c5e22ef78c9c3a4_LocalBusiness_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.78125,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/345759b16a979ca20c5e22ef78c9c3a4_LocalBusiness_factual.csv,2
factual,GPT_3_Turbo_16K,pred,0.9583333333333334,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/690a9803a4ff14a368e32559f16ba3c9_LocalBusiness_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.8387096774193549,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/690a9803a4ff14a368e32559f16ba3c9_LocalBusiness_factual.csv,2
factual,GPT_3_Turbo_16K,pred,0.9090909090909092,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/6b394ce342a0bc94b4ec91654b175de4_Product_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.6385542168674698,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/6b394ce342a0bc94b4ec91654b175de4_Product_factual.csv,2
semantic,GPT_3_Turbo_16K,pred,0.9166666666666666,text2kg_prompt3,data/WDC/GenPromptXP/pset_length/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/345759b16a979ca20c5e22ef78c9c3a4_LocalBusiness_semantic.csv,2
