metric,approach,instance,value,prompt_ver,id,stratum
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,0.7551020458142439,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_shacl.csv,2
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,0.9929577465284666,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_shacl.csv,2
shacl,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_shacl.csv,2
shacl,GPT_3_Turbo_16K,expected,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_shacl.csv,2
factual,GPT_3_Turbo_16K,pred,0.7692307692307693,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.7551020408163265,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_factual.csv,2
factual,GPT_3_Turbo_16K,pred,0.84375,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.59375,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_factual.csv,2
factual,GPT_3_Turbo_16K,pred,0.6,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_factual.csv,2
factual,GPT_3_Turbo_16K,expected,0.9444444444444444,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_factual.csv,2
semantic,GPT_3_Turbo_16K,pred,0.9090909090909092,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_semantic.csv,2
semantic,GPT_3_Turbo_16K,expected,0.8888888888888888,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_semantic.csv,2
semantic,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_semantic.csv,2
semantic,GPT_3_Turbo_16K,expected,0.9545454545454546,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_semantic.csv,2
semantic,GPT_3_Turbo_16K,pred,1.0,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_semantic.csv,2
semantic,GPT_3_Turbo_16K,expected,0.9411764705882352,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/daffe0ef963dd57ac77de2d52f9b6c41_Person_semantic.csv,2
jaccardms,GPT_3_Turbo_16K,pred,0.3584905660377358,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_jaccardms.csv,2
jaccardms,GPT_3_Turbo_16K,expected,0.8867924528301887,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/7bf0c30af1678abc825c1fec204839d9_OnlineStore_jaccardms.csv,2
jaccardms,GPT_3_Turbo_16K,pred,0.5625,text2kg_prompt3,data/WDC/GenPromptXP/count_sum/stratum_2/corpus/GPT_3_Turbo_16K/text2kg_prompt3/e54493f5856d47920abcfa98851e078e_Service_jaccardms.csv,2
